Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM,GPU,Operating System,Operating System Version,Weight,HDD,SSD,Hybrid,FS,Price_ln
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8.0,Intel Iris Plus Graphics 640,macOS,10,1.37,0,128,0,0,16.293100797981477
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8.0,Intel HD Graphics 6000,macOS,10,1.34,0,0,0,128,15.894123566505304
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,No OS,10,1.86,0,256,0,0,15.447277315881438
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16.0,AMD Radeon Pro 455,macOS,10,1.83,0,512,0,0,16.931822193806497
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8.0,Intel Iris Plus Graphics 650,macOS,10,1.37,0,256,0,0,16.590447221631017
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4.0,AMD Radeon R5,Windows,10,2.1,500,0,0,0,15.08437182219207
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16.0,Intel Iris Pro Graphics,Mac OS,X,2.04,0,0,0,256,16.761454364310133
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8.0,Intel HD Graphics 6000,macOS,10,1.34,0,0,0,256,16.147961241087103
Asus,ZenBook UX430UN,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16.0,Nvidia GeForce MX150,Windows,10,1.3,0,512,0,0,16.402788760908873
Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,1.6,0,256,0,0,15.739297789931816
HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4.0,Intel HD Graphics 620,No OS,10,1.86,500,0,0,0,15.069004345060947
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,No OS,10,1.86,500,0,0,0,14.936422706188113
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16.0,AMD Radeon Pro 555,macOS,10,1.83,0,256,0,0,16.892648298213782
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4.0,AMD Radeon R5 M430,Windows,10,2.2,0,256,0,0,15.305312949951078
Apple,"MacBook 12""",Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8.0,Intel HD Graphics 615,macOS,10,0.92,0,256,0,0,16.233677225175697
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8.0,Intel Iris Plus Graphics 640,macOS,10,1.37,0,256,0,0,16.41841848625862
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,AMD Radeon R5 M430,Windows,10,2.2,0,256,0,0,15.706291493463647
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16.0,AMD Radeon Pro 560,macOS,10,1.83,0,512,0,0,17.0507846335739
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8.0,Nvidia GeForce 940MX,No OS,10,2.2,1,0,0,0,15.305513370835605
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,1.22,0,128,0,0,15.979438917614598
Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2.0,Intel HD Graphics 400,Windows,10,0.98,0,0,0,32,14.349881678097741
